Unnamed: 0,Film,Budget,Revenue,Novel,Earnings,First Letter
447,Final Destination 2,26000000,90426405,0.0,64426405,F
448,Final Destination 3,25000000,117719158,0.0,92719158,F
449,Final Destination 5,47000000,157887643,0.0,110887643,F
450,Finding Dory,200000000,1028570889,0.0,828570889,F
451,Finding Nemo,94000000,940335536,0.0,846335536,F
452,Finding Neverland,25000000,116766556,0.0,91766556,F
453,Fireproof,500000,33456317,0.0,32956317,F
454,Firewall,45000000,82800000,0.0,37800000,F
455,Flags of Our Fathers,90000000,65900249,0.0,-24099751,F
456,Flicka,15000000,21000000,1.0,6000000,F
457,Flight,31000000,161772375,0.0,130772375,F
458,Flight of the Phoenix,45000000,21009180,1.0,-23990820,F
459,Flightplan,55000000,223387299,0.0,168387299,F
460,Florence Foster Jenkins,29000000,48902953,0.0,19902953,F
461,Flushed Away,149000000,64459316,0.0,-84540684,F
462,Flyboys,60000000,17800000,0.0,-42200000,F
463,Fool's Gold,70000000,111231041,0.0,41231041,F
464,For Your Consideration,12000000,5542025,0.0,-6457975,F
465,Forgetting Sarah Marshall,30000000,105173115,0.0,75173115,F
466,Four Brothers,45000000,92374674,0.0,47374674,F
467,Four Christmases,80000000,163733697,0.0,83733697,F
468,Foxcatcher,24000000,12096300,0.0,-11903700,F
469,Frankenweenie,39000000,35287788,0.0,-3712212,F
470,Freaky Friday,26000000,110230332,1.0,84230332,F
471,Fred Claus,100000000,97838349,0.0,-2161651,F
472,Free Birds,55000000,110000000,0.0,55000000,F
473,Free Fire,10000000,3565109,0.0,-6434891,F
474,Free State of Jones,50000000,25035950,0.0,-24964050,F
475,Freedom Writers,21000000,41170784,0.0,20170784,F
476,Freedomland,37665000,14655628,1.0,-23009372,F
477,Frida,12000000,56298474,0.0,44298474,F
478,Friday After Next,20000000,33526835,0.0,13526835,F
479,Friday Night Lights,30000000,61255921,0.0,31255921,F
480,Friends with Benefits,35000000,150483765,0.0,115483765,F
481,Friends with Money,6500000,13368437,0.0,6868437,F
482,From Justin to Kelly,12000000,4922166,0.0,-7077834,F
483,From Paris with Love,52000000,52826594,0.0,826594,F
484,Frozen,150000000,1274219009,0.0,1124219009,F
485,Fun Size,14000000,11417362,0.0,-2582638,F
