year,quarter,state,period,pm2.5_measure,personal_income_per_capita,region,division
2017,4,Nevada,2017 Q4,10.87716,47749,West,Mountain
2017,1,New Hampshire,2017 Q1,5.154171428571429,57544,Northeast,New England
2017,2,New Hampshire,2017 Q2,4.093185714285714,57926,Northeast,New England
2017,3,New Hampshire,2017 Q3,5.983214285714285,58906,Northeast,New England
2017,4,New Hampshire,2017 Q4,4.61066,59083,Northeast,New England
2017,1,New Jersey,2017 Q1,7.956799999999999,61484,Northeast,Middle Atlantic
2017,2,New Jersey,2017 Q2,6.9373249999999995,62265,Northeast,Middle Atlantic
2017,3,New Jersey,2017 Q3,7.988895238095237,62784,Northeast,Middle Atlantic
2017,4,New Jersey,2017 Q4,7.888679999999999,63313,Northeast,Middle Atlantic
2017,1,New Mexico,2017 Q1,7.0082375,39085,West,Mountain
2017,2,New Mexico,2017 Q2,8.799857142857142,39289,West,Mountain
2017,3,New Mexico,2017 Q3,6.5132,39566,West,Mountain
2017,4,New Mexico,2017 Q4,7.0533600000000005,39851,West,Mountain
2017,1,New York,2017 Q1,6.668804347826087,61692,Northeast,Middle Atlantic
2017,2,New York,2017 Q2,5.8736375,62476,Northeast,Middle Atlantic
2017,3,New York,2017 Q3,7.6782,63074,Northeast,Middle Atlantic
2017,4,New York,2017 Q4,7.030068,64376,Northeast,Middle Atlantic
2017,1,North Carolina,2017 Q1,6.914557142857143,44023,South,South Atlantic
2017,2,North Carolina,2017 Q2,6.399557142857144,44401,South,South Atlantic
2017,3,North Carolina,2017 Q3,8.40595,44731,South,South Atlantic
2017,4,North Carolina,2017 Q4,8.03214,45175,South,South Atlantic
2017,1,North Dakota,2017 Q1,6.1316500000000005,52176,Midwest,West North Central
2017,2,North Dakota,2017 Q2,4.34515,52668,Midwest,West North Central
2017,3,North Dakota,2017 Q3,9.89165,52345,Midwest,West North Central
2017,4,North Dakota,2017 Q4,5.7661,52780,Midwest,West North Central
2017,1,Ohio,2017 Q1,8.526663888888889,46087,Midwest,East North Central
2017,2,Ohio,2017 Q2,6.407490666666667,46436,Midwest,East North Central
2017,3,Ohio,2017 Q3,9.443082666666665,46822,Midwest,East North Central
2017,4,Ohio,2017 Q4,9.465150666666666,47233,Midwest,East North Central
2017,1,Oklahoma,2017 Q1,7.176585714285714,43523,South,West South Central
2017,2,Oklahoma,2017 Q2,7.386328571428572,44299,South,West South Central
2017,3,Oklahoma,2017 Q3,8.823114285714286,44672,South,West South Central
2017,4,Oklahoma,2017 Q4,7.167585714285714,45147,South,West South Central
2017,1,Oregon,2017 Q1,9.459275,47154,West,Pacific
2017,2,Oregon,2017 Q2,4.27293125,47845,West,Pacific
2017,3,Oregon,2017 Q3,18.73048,48141,West,Pacific
2017,4,Oregon,2017 Q4,11.79676875,48823,West,Pacific
2017,1,Pennsylvania,2017 Q1,9.286328,51568,Northeast,Middle Atlantic
2017,2,Pennsylvania,2017 Q2,7.869832,52040,Northeast,Middle Atlantic
2017,3,Pennsylvania,2017 Q3,10.139564,52728,Northeast,Middle Atlantic
2017,4,Pennsylvania,2017 Q4,10.445988,53294,Northeast,Middle Atlantic
2017,1,Rhode Island,2017 Q1,5.2050600000000005,49942,Northeast,New England
2017,2,Rhode Island,2017 Q2,5.10034,50606,Northeast,New England
2017,3,Rhode Island,2017 Q3,6.40096,51620,Northeast,New England
2017,4,Rhode Island,2017 Q4,6.660259999999999,51629,Northeast,New England
2017,1,South Carolina,2017 Q1,8.044006666666666,42336,South,South Atlantic
2017,2,South Carolina,2017 Q2,7.099376923076923,42701,South,South Atlantic
2017,3,South Carolina,2017 Q3,8.256538461538462,42858,South,South Atlantic
2017,4,South Carolina,2017 Q4,7.974830769230769,43103,South,South Atlantic
2017,1,South Dakota,2017 Q1,6.694171428571429,50113,Midwest,West North Central
2017,2,South Dakota,2017 Q2,4.864314285714286,50220,Midwest,West North Central
2017,3,South Dakota,2017 Q3,7.522371428571428,50077,Midwest,West North Central
2017,4,South Dakota,2017 Q4,5.111071428571429,50107,Midwest,West North Central
2017,1,Tennessee,2017 Q1,7.446135714285715,44405,South,East South Central
2017,2,Tennessee,2017 Q2,6.620896428571428,44705,South,East South Central
2017,3,Tennessee,2017 Q3,8.855004347826087,44907,South,East South Central
2017,4,Tennessee,2017 Q4,8.5296,45472,South,East South Central
2017,1,Texas,2017 Q1,8.458041935483871,48394,South,West South Central
2017,2,Texas,2017 Q2,8.6831,48935,South,West South Central
2017,3,Texas,2017 Q3,9.37944827586207,49454,South,West South Central
2017,4,Texas,2017 Q4,8.220168965517242,50136,South,West South Central
2017,1,Utah,2017 Q1,9.32296923076923,42498,West,Mountain
2017,2,Utah,2017 Q2,5.117592307692307,42953,West,Mountain
2017,3,Utah,2017 Q3,8.98709090909091,43531,West,Mountain
2017,4,Utah,2017 Q4,8.766323076923076,44008,West,Mountain
2017,2,Vermont,2017 Q2,4.3311,50576,Northeast,New England
